2.73650836	-0.23339406	22.49718785
2.61168950	-0.20122471	22.49718785
2.48281560	-0.16788086	22.49718785
2.34880914	-0.13340844	22.49718785
2.20845930	-0.09799379	22.49718785
2.06040553	-0.06173136	22.49718785
1.90692471	-0.02569461	22.49718785
1.75314689	0.00856537	22.49718785
1.60143019	0.04038980	22.49718785
1.45212111	0.06966713	22.49718785
1.30377531	0.09665721	22.49718785
1.15537746	0.12153851	22.49718785
1.00661278	0.14434252	22.49718785
0.85720968	0.16513486	22.49718785
0.70760476	0.18391028	22.49718785
0.55849479	0.20048374	22.49718785
0.41170106	0.21478830	22.49718785
0.26747105	0.22691452	22.49718785
0.12798650	0.23602909	22.49718785
-0.04241762	0.24352614	22.49718785
-0.09194982	0.24493621	22.49718785
-0.25972644	0.24692093	22.49718785
-0.37691917	0.24450330	22.49718785
-0.48757945	0.23866460	22.49718785
-0.59138616	0.22983392	22.49718785
-0.68687977	0.21671213	22.49718785
-0.77359066	0.20002095	22.49718785
-0.84745871	0.17943100	22.49718785
-0.90190193	0.15559047	22.49718785
-0.93573236	0.12845736	22.49718785
-0.95137926	0.09519985	22.49718785
-0.95137926	0.09519985	22.49718785
-0.94209552	0.06486717	22.49718785
-0.91305936	0.04408882	22.49718785
-0.86299914	0.02412785	22.49718785
-0.79316375	0.00441738	22.49718785
-0.70991813	-0.01352165	22.49718785
-0.61743284	-0.03046345	22.49718785
-0.51613941	-0.04674918	22.49718785
-0.40768777	-0.06298247	22.49718785
-0.29234191	-0.07902160	22.49718785
-0.12656152	-0.10095561	22.49718785
-0.07752208	-0.10729013	22.49718785
0.09150211	-0.12857749	22.49718785
0.23022887	-0.14526505	22.49718785
0.37396384	-0.16233843	22.49718785
0.52052909	-0.17892631	22.49718785
0.66966190	-0.19527144	22.49718785
0.81956766	-0.21104050	22.49718785
0.96953815	-0.22616262	22.49718785
1.11914058	-0.24059449	22.49718785
1.26865799	-0.25428757	22.49718785
1.41840894	-0.26723529	22.49718785
1.56942781	-0.27942586	22.49718785
1.72319321	-0.29077660	22.49718785
1.87937388	-0.30102376	22.49718785
2.03559264	-0.30969885	22.49718785
2.18661665	-0.31627825	22.49718785
2.33008904	-0.32048766	22.49718785
2.46737419	-0.32219458	22.49718785
2.59966385	-0.32140293	22.49718785
2.72804319	-0.31799070	22.49718785
